Gene,Non-unique Gene name,Annotation,Number_pos_present_in,Number_neg_present_in,Number_pos_not_present_in,Number_neg_not_present_in,Sensitivity,Specificity,Odds_ratio,Naive_p,Bonferroni_p,Benjamini_H_p,Max_Pairwise_comparisons,Max_supporting_pairs,Max_opposing_pairs,Best_pairwise_comp_p,Worst_pairwise_comp_p
hsdR,,HsdR,0,128,409,0,0,0,0,2.07E-127,1.21E-123,1.21E-124,1,0,1,1,1
group_2433,,Putative uncharacterized protein,0,128,409,0,0,0,0,2.07E-127,1.21E-123,1.21E-124,1,0,1,1,1
rloA,,RloA,0,128,409,0,0,0,0,2.07E-127,1.21E-123,1.21E-124,1,0,1,1,1
group_3558,cysC,Putative adenylylsulfate kinase,0,128,409,0,0,0,0,2.07E-127,1.21E-123,1.21E-124,1,0,1,1,1
group_3548,,RloB,0,128,409,0,0,0,0,2.07E-127,1.21E-123,1.21E-124,1,0,1,1,1
group_3008,,Putative uncharacterized protein,0,128,409,0,0,0,0,2.07E-127,1.21E-123,1.21E-124,1,0,1,1,1
group_3560,,Putative uncharacterized protein,0,128,409,0,0,0,0,2.07E-127,1.21E-123,1.21E-124,1,0,1,1,1
group_3561,,"Transcriptional regulator, putative",0,128,409,0,0,0,0,2.07E-127,1.21E-123,1.21E-124,1,0,1,1,1
group_3562,,Putative uncharacterized protein,0,128,409,0,0,0,0,2.07E-127,1.21E-123,1.21E-124,1,0,1,1,1
group_3570,,Cj81-027,0,128,409,0,0,0,0,2.07E-127,1.21E-123,1.21E-124,1,0,1,1,1
group_3012,,Putative uncharacterized protein,0,127,409,1,0,0.78125,0,8.48E-125,4.97E-121,3.82E-122,1,0,1,1,1
hsdS,,Putative type I specificity subunit HsdS,0,127,409,1,0,0.78125,0,8.48E-125,4.97E-121,3.82E-122,1,0,1,1,1
group_3559,,hypothetical protein,0,127,409,1,0,0.78125,0,8.48E-125,4.97E-121,3.82E-122,1,0,1,1,1
group_447,,Putative uncharacterized protein,0,125,409,3,0,2.34375,0,2.39E-120,1.40E-116,1.00E-117,1,0,1,1,1
group_1617,,Putative uncharacterized protein,2,126,407,2,0.488997555,1.5625,7.80E-05,1.40E-118,8.22E-115,5.48E-116,1,1,1,1,1
group_440,,Tgh073,0,124,409,4,0,3.125,0,2.47E-118,1.45E-114,9.05E-116,1,0,1,1,1
group_3547,,Putative periplasmic protein,0,122,409,6,0,4.6875,0,1.41E-114,8.29E-111,4.88E-112,1,0,1,1,1
group_802,,Putative peptidase,10,128,399,0,2.444987775,0,0,1.02E-112,5.99E-109,3.15E-110,1,0,1,1,1
dam,,Putative uncharacterized protein,10,128,399,0,2.444987775,0,0,1.02E-112,5.99E-109,3.15E-110,1,0,1,1,1
group_977,,"Non-heme iron protein, hemerythrin family",6,126,403,2,1.466992665,1.5625,0.000236323,1.11E-112,6.49E-109,3.25E-110,1,1,1,1,1
cysC,,adenylylsulfate kinase,398,0,11,128,97.31051345,100,inf,1.29E-111,7.57E-108,3.29E-109,1,1,0,1,1
group_1590,,Putative uncharacterized protein,11,128,398,0,2.689486553,0,0,1.29E-111,7.57E-108,3.29E-109,1,0,1,1,1
group_1996,,Putative uncharacterized protein,11,128,398,0,2.689486553,0,0,1.29E-111,7.57E-108,3.29E-109,1,0,1,1,1
group_2437,,radical SAM domain-containing protein,1,121,408,7,0.244498778,5.46875,0.000141792,1.01E-110,5.91E-107,2.46E-108,1,1,1,1,1
group_2446,,RlfA,12,128,397,0,2.93398533,0,0,1.51E-110,8.83E-107,3.53E-108,1,0,1,1,1
group_1235,aas,"2-acylglycerophosphoethanolamine acyltransferase/acyl-acyl carrier protein, putative",0,117,409,11,0,8.59375,0,3.26E-106,hmm,7.34E-104,1,0,1,1,1
hsdM,,"type I restriction-modification system, M subunit",0,116,409,12,0,9.375,0,1.14E-104,6.70E-101,2.39E-102,1,0,1,1,1
group_3602,,hypothetical protein,0,116,409,12,0,9.375,0,1.14E-104,6.70E-101,2.39E-102,1,0,1,1,1
group_378,,Putative uncharacterized protein,386,0,23,128,94.37652812,100,inf,1.79E-100,1.05E-96,3.38E-98,1,1,0,1,1
group_2413,,integral membrane protein,23,128,386,0,5.623471883,0,0,1.79E-100,1.05E-96,3.38E-98,1,0,1,1,1
group_2976,,"Lipoprotein, putative",23,128,386,0,5.623471883,0,0,1.79E-100,1.05E-96,3.38E-98,1,0,1,1,1
group_3567,,hypothetical protein,0,112,409,16,0,12.5,0,8.41E-99,4.93E-95,1.54E-96,1,0,1,1,1
group_972,,"capsular biosynthesis sugar kinase, putative",408,15,1,113,99.75550122,88.28125,3073.6,3.48E-98,2.04E-94,6.19E-96,1,1,1,1,1
group_1111,,Oxygen-insensitive NAD(P)H nitroreductase / Dihydropteridine reductase,26,128,383,0,6.356968215,0,0,4.11E-98,2.41E-94,7.08E-96,1,0,1,1,1
group_2445,pyrC,"dihydroorotase, homodimeric type",27,128,382,0,6.601466993,0,0,2.36E-97,1.38E-93,3.95E-95,1,0,1,1,1
group_2411,,Integral membrane protein,23,125,386,3,5.623471883,2.34375,0.001430052,1.06E-93,6.20E-90,1.72E-91,1,1,1,1,1
group_3571,,Putative uncharacterized protein,40,127,369,1,9.7799511,0.78125,0.000853552,4.68E-86,2.75E-82,7.42E-84,1,1,1,1,1
group_633,,"HAD-superfamily phosphatase, subfamily IIIC",372,2,37,126,90.95354523,98.4375,633.4054054,8.87E-86,5.20E-82,1.37E-83,1,1,1,1,1
rfbC,,putative nucleotide-sugar epimerase-dehydratase,366,1,43,127,89.48655257,99.21875,1080.976744,3.03E-84,1.77E-80,4.55E-82,1,1,1,1,1
group_2,,hypothetical protein,404,22,5,106,98.77750611,82.8125,389.3090909,9.57E-83,5.61E-79,1.40E-80,1,1,1,1,1
group_2323,,diacylglycerol kinase,359,0,50,128,87.77506112,100,inf,1.10E-82,6.44E-79,1.53E-80,1,1,0,1,1
dgkA,,diacylglycerol kinase,50,128,359,0,12.22493888,0,0,1.10E-82,6.44E-79,1.53E-80,1,0,1,1,1
aas,,"2-acylglycerophosphoethanolamine acyltransferase/acyl-acyl carrier protein, putative",409,29,0,99,100,77.34375,inf,3.63E-82,2.13E-78,4.95E-80,1,1,0,1,1
tonB1,,"Ferric siderophore transport system, periplasmic binding protein TonB",356,0,53,128,87.04156479,100,inf,4.56E-81,2.67E-77,6.08E-79,1,1,0,1,1
cjeI,,restriction modification enzyme,355,0,54,128,86.79706601,100,inf,1.54E-80,9.01E-77,1.73E-78,1,1,0,1,1
group_3260,,hypothetical protein,355,0,54,128,86.79706601,100,inf,1.54E-80,9.01E-77,1.73E-78,1,1,0,1,1
exbB,,"Ferric siderophore transport system, biopolymer transport protein ExbB",355,0,54,128,86.79706601,100,inf,1.54E-80,9.01E-77,1.73E-78,1,1,0,1,1
aadK,,Aminoglycoside 6-adenylyltransferase,355,0,54,128,86.79706601,100,inf,1.54E-80,9.01E-77,1.73E-78,1,1,0,1,1
group_2779,,"4-carboxymuconolactone decarboxylase, putative",355,0,54,128,86.79706601,100,inf,1.54E-80,9.01E-77,1.73E-78,1,1,0,1,1
