CGF1,2011_6,2011_7,2011_8,2011_9,2011_10,2011_11,2012_5,2012_6,2012_7,2012_8,2012_9,2012_10,2012_11,2013_5,2013_6,2013_7,2013_8,2013_9,2013_10
0083_001_002,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0777_001_004,3,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0
0781_001_002,2,0,8,11,7,0,0,6,9,2,0,0,0,0,0,1,0,3,1
0782_002_009,3,3,0,2,7,0,3,21,16,3,7,2,0,1,1,1,0,0,3
0878_001_004,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0933_004_002,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0960_007_001,3,0,3,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0733_003_002,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0782_003_002,0,6,12,20,25,0,0,0,5,1,0,0,0,0,0,0,0,0,0
0878_002_001,0,4,0,0,0,0,2,0,2,0,0,0,0,0,1,0,1,0,1
0878_003_003,0,4,6,10,4,0,0,7,0,0,0,0,0,0,1,0,0,0,1
0933_008_001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0957_001_001,0,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
0777_001_015,0,0,16,0,11,0,0,14,7,2,4,1,0,0,0,0,0,0,0
0778_001_001,0,0,3,3,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0
0781_002_001,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0782_003_003,0,0,8,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0904_002_002,0,0,12,3,23,5,0,0,0,0,0,0,0,0,0,0,0,0,0
0926_002_001,0,0,2,3,8,0,0,2,0,0,0,0,0,0,0,2,3,0,0
0960_003_002,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0776_002_002,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0882_005_001,0,0,0,22,16,3,0,0,0,0,0,0,0,0,0,0,0,0,0
0921_001_001,0,0,0,1,40,10,0,0,0,0,4,3,1,0,0,0,0,0,0
0535_001_003,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0536_001_001,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0923_002_001,0,0,0,0,6,0,0,0,1,0,0,0,0,0,5,0,0,0,0
0781_001_001,0,0,0,0,0,1,3,0,0,1,2,0,0,0,0,0,0,0,0
0781_001_003,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
0735_013_002,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
0766_002_001,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0
0878_001_001,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
0878_001_002,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0878_002_002,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
0878_003_001,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,4,1,1
0882_002_002,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
0904_001_002,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
0776_001_002,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0878_001_003,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
0778_001_005,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0
0781_001_006,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
0782_004_002,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0878_001_006,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
