Animal,Sampling Event,Count,Isolates with cgMLST distance of 0
R1003,2,5,5
R1005,1,2,0
R1007,1,2,2
R1015,3,4,4
R1020,1,2,2
R1023,2,5,2
R1032,1,3,3
R1033,1,1,0
R1043,1,3,2
R1045,1,3,2
R1045,2,3,0
R1045,3,3,3
R1050,2,3,3
R1055,2,1,0
R1056,1,1,0
R1056,2,1,0
R1065,1,3,3
R1067,1,3,2
R1067,2,3,3
R1068,1,3,3
R1068,2,3,3
R1070,2,3,2
R1071,1,1,0
R1071,2,3,2
R1073,2,5,4
R1074,2,3,3
R1074,3,6,6
R1076,1,3,3
R1077,2,6,6
R1078,1,2,2
R1078,2,1,0
R1079,2,1,0
R1083,1,3,3
R1086,1,3,3
R1089,1,2,0
R1089,2,2,0
R1091,1,2,2
R1091,2,4,4
R1092,1,3,3
R1094,1,2,0
R1095,1,2,0
R1096,1,1,0
R1097,1,3,3
R1097,2,4,3
R1098,1,3,3
R1099,1,1,0
R1102,1,3,3
R1104,2,1,0
R1104,3,1,0
R1105,1,3,3
R1107,2,1,0
R1111,1,3,2
R1112,2,3,2
R1113,1,2,2
R1114,2,2,0
R1115,2,1,0
R1116,1,2,0
R1120,1,1,0
R1130,1,2,2
R1132,1,3,3
R1138,1,1,0
R1139,1,3,2
R1139,2,3,0
R1147,3,1,0
R1148,1,3,2
R1152,1,3,3
R1154,2,1,0
R1154,3,1,0
R1155,2,2,0
R1157,1,1,0
R1160,1,2,0
R1160,2,1,0
R1161,1,3,2
R1162,2,2,2
R1167,3,1,0
R1169,2,3,3
R1169,3,2,2
R1169,4,3,3
R1171,1,2,0
R1174,1,3,2
R1177,1,3,2
R1185,1,1,0
R1190,1,3,0
R1191,2,3,3
R1193,1,3,2
R1194,1,3,3
R1194,2,1,0
R1200,1,2,2
R1202,1,2,2
R1202,3,3,2
R1206,1,3,3
R1207,3,3,3
R1208,2,1,0
R1209,3,6,5
R1211,2,6,4
R1211,3,3,3
R1212,2,3,3
R1212,3,1,0
R1213,1,3,2
R1214,1,3,3
R1217,1,2,2
R1222,2,1,0
R1222,3,4,4
R1222,4,3,2
R1223,3,1,0
R1226,1,2,2
R1228,2,2,2
R1229,3,1,0
R1231,1,2,2
R1231,2,2,0
R1232,1,1,0
R1235,2,2,2
R1237,1,2,2
R1238,1,3,3
R1238,2,3,2
R1238,3,2,0
R1238,4,1,0
R1241,1,1,0
R1243,2,2,0
R1245,1,3,3
R1245,2,1,0
R1247,1,1,0
R1247,3,1,0
R1248,1,2,2
R1249,2,1,0
R1250,1,1,0
R1256,2,5,3
R1256,3,1,0
R1262,2,2,0
R1263,1,1,0
R1266,1,2,0
R1271,1,1,0
R1273,1,1,0
R1274,1,1,0
R1275,1,1,0
R1278,1,1,0
R1280,1,1,0
R1281,2,1,0
R1292,1,1,0
R1294,2,1,0
R1297,2,1,0
R1297,3,1,0
R1298,2,2,2
R1298,3,3,3
R1302,1,1,0
R1303,1,1,0
R1309,2,1,0
R1310,1,1,0
R1318,1,1,0
R1319,1,1,0
R1320,2,1,0
R1325,2,3,2
R1330,1,1,0
R1331,2,1,0
R1335,1,1,0
R1337,1,1,0
R1338,1,1,0
R1339,1,1,0
R1341,1,1,0
R1343,1,1,0
R1344,1,1,0
R1351,2,1,0
R1355,1,3,2
R1355,2,5,3
R1355,3,3,2
R1355,4,1,0
R1356,3,6,3
R1356,4,1,0
R1358,1,1,0
R1358,2,1,0
R1360,1,1,0
R1362,1,1,0
R1363,1,1,0
R1365,2,1,0
R1367,1,1,0
R1368,1,1,0
R1369,3,1,0
R1370,1,1,0
R1371,1,1,0
R1372,1,1,0
R1373,1,1,0
R1374,1,1,0
R1382,1,1,0
R1383,1,1,0
R1388,1,3,3
R1390,1,1,0
R1391,2,1,0
R1394,2,3,3
R1396,1,1,0
R1396,3,1,0
R1397,2,1,0
R1400,2,1,0
R1404,1,2,2
R1409,1,1,0
R1411,2,3,2
R1420,3,1,0
R1425,1,1,0
R1431,2,3,3
R1431,3,3,3
R1432,1,1,0
R1435,1,1,0
R1440,2,2,2
R1440,3,3,2
R1440,4,1,0
R1440,5,1,0
R1441,4,1,0
R1445,1,1,0
R1454,1,1,0
R1466,1,3,3
R1466,3,1,0
R1466,6,1,0
R1467,1,1,0
R1468,1,1,0
R1468,2,1,0
R1473,1,1,0
R1474,2,1,0
R1483,1,1,0
R1505,2,1,0
R1506,2,1,0
R1506,3,1,0
R1506,4,1,0
R1514,2,1,0
R1519,1,1,0
R1530,1,1,0
R1535,1,1,0
R1536,1,1,0
R1553,1,1,0
R1554,1,1,0
R1555,1,1,0
R1566,1,1,0
R1569,1,1,0
R409,1,2,2
R411,2,6,5
R411,3,3,2
R412,4,6,4
R415,2,4,3
R451,3,5,5
R453,1,1,0
R453,2,3,3
R457,2,2,2
R459,4,1,0
R461,2,1,0
R461,3,3,3
R475,3,1,0
R566,1,3,2
R569,1,2,2
R603,1,2,2
R604,1,4,2
R607,1,2,2
R607,2,3,2
R608,1,1,0
R609,1,1,0
R610,1,3,2
R611,1,1,0
R611,3,1,0
R612,1,3,2
R612,2,3,3
R613,1,2,2
R613,2,3,2
R614,1,5,5
R615,1,6,6
R619,1,3,3
R620,1,6,6
R621,1,4,2
R623,1,3,3
R903,2,1,0
R913,2,2,0
R913,3,2,0
R913,4,3,0
R918,1,3,3
R919,1,3,0
R921,1,3,3
R924,2,3,2
R924,4,3,2
R924,5,2,0
R926,3,3,3
R927,3,3,2
R929,1,1,0
R929,2,3,3
R934,1,3,0
R934,3,3,2
R934,4,2,2
R937,1,3,3
R939,1,2,2
R946,2,5,5
R954,4,1,0
R961,1,2,2
R970,1,3,3
R971,2,2,2
R971,3,4,4
R972,2,6,6
R973,1,1,0
R992,2,3,3
R995,1,2,0
R996,2,3,3
