Animal,Sampling Event,CGF,mean_distance,max,min
R1212,2,0957_001_001,0.006466667,0.0097,0.0019
R1217,1,0957_001_001,0.0116,0.0116,0.0116
R1112,2,0926_002_001,0.0125,0.0125,0.0125
R1298,2,0904_002_002,0.0165,0.0165,0.0165
R1111,1,0904_002_002,0.0166,0.0166,0.0166
R972,2,0926_002_001,0.0166,0.0248,0.0107
R996,2,0882_005_001,0.0171,0.0256,0.011
R1097,2,0882_005_001,0.017266667,0.0243,0.0092
R1394,2,0904_002_002,0.0176,0.0198,0.0132
R613,2,0781_001_002,0.0191,0.0191,0.0191
R1388,1,0882_005_001,0.019366667,0.0271,0.0146
R1007,1,0926_002_001,0.0194,0.0194,0.0194
R1211,2,0904_002_002,0.0197,0.0197,0.0197
R937,1,0960_007_001,0.020733333,0.0293,0.007
R939,1,0933_004_002,0.0214,0.0214,0.0214
R612,2,0781_001_002,0.023266667,0.0262,0.0189
R1222,4,0921_001_001,0.0236,0.0236,0.0236
R566,1,0921_001_001,0.0236,0.0236,0.0236
R1086,1,0781_001_002,0.025033333,0.0293,0.0213
R1191,2,0882_002_002,0.026266667,0.0334,0.0198
R1248,1,0781_001_002,0.0278,0.0278,0.0278
R604,1,0904_002_002,0.028,0.028,0.028
R1355,3,0781_001_003,0.029,0.029,0.029
R918,1,0777_001_004,0.029133333,0.036,0.0227
R1023,2,0882_005_001,0.0293,0.0293,0.0293
R1050,2,0882_005_001,0.0295,0.0321,0.0282
R607,2,0782_003_002,0.0314,0.0314,0.0314
R409,1,0957_001_001,0.0324,0.0324,0.0324
R1043,1,0781_002_001,0.0327,0.0327,0.0327
R971,2,0882_005_001,0.0341,0.0341,0.0341
R1077,2,0904_002_002,0.03416,0.0633,0.005
R1045,1,0878_003_003,0.0346,0.0346,0.0346
R621,1,0878_003_003,0.0347,0.0347,0.0347
R970,1,0878_002_001,0.035933333,0.0409,0.0297
R451,3,0904_002_002,0.03598,0.0473,0.0214
R1091,1,0882_005_001,0.0363,0.0363,0.0363
R1169,4,0781_001_001,0.036366667,0.0474,0.0295
R1404,1,0777_001_015,0.037,0.037,0.037
R1074,2,0904_002_002,0.038133333,0.0457,0.023
R615,1,0923_002_001,0.038513333,0.051,0.0226
R1083,1,0781_001_002,0.0391,0.0407,0.036
